iter	Passed	Remaining
0	11	115585
1	23	119191
2	37	124938
3	48	120943
4	61	122631
5	73	122261
6	82	117926
7	93	117387
8	105	117407
9	117	117041
10	129	117856
11	141	117410
12	153	117715
13	163	116416
14	173	115352
15	179	111783
16	188	110840
17	193	107507
18	197	103655
19	202	101126
20	206	98045
21	209	95154
22	213	92579
23	217	90245
24	220	87991
25	223	85912
26	227	83975
27	230	82149
28	233	80419
29	237	78851
30	240	77412
31	244	76020
32	247	74760
33	250	73567
34	254	72409
35	257	71311
36	261	70308
37	264	69331
38	267	68398
39	271	67498
40	274	66648
41	277	65866
42	281	65118
43	284	64369
44	287	63691
45	291	63065
46	294	62450
47	298	61868
48	301	61261
49	305	60712
50	308	60205
51	312	59694
52	315	59204
53	318	58732
54	322	58284
55	325	57835
56	329	57393
57	332	57014
58	336	56638
59	339	56292
60	343	55943
61	346	55590
62	350	55241
63	353	54875
64	356	54550
65	360	54233
66	363	53923
67	367	53629
68	370	53380
69	374	53130
70	377	52847
71	383	52915
72	391	53277
73	399	53610
74	407	53912
75	415	54201
76	419	54090
77	427	54344
78	436	54794
79	447	55483
80	453	55593
81	464	56124
82	476	56874
83	485	57298
84	494	57720
85	505	58263
86	516	58896
87	527	59376
88	538	59987
89	547	60287
90	559	60955
91	573	61722
92	584	62272
93	593	62573
94	602	62848
95	611	63094
96	622	63603
97	634	64105
98	641	64176
99	648	64205
100	655	64251
101	659	63981
102	662	63667
103	665	63372
104	669	63075
105	672	62786
106	675	62492
